,cpp_nominal,cpp_partial,cpp_nlaugmenter_EnglishInflectionalVariation,cpp_nlaugmenter_TenseTransformationFuture,cpp_nlaugmenter_ButterFingersPerturbation,cpp_nlaugmenter_ChangeCharCase,cpp_nlaugmenter_BackTranslation,cpp_nlaugmenter_SwapCharactersPerturbation,cpp_nlaugmenter_TenseTransformationPast,cpp_nlaugmenter_SynonymSubstitution,cpp_nlaugmenter_WhitespacePerturbation,cpp_nlaugmenter_SynonymInsertion,cpp_natgen_OperandSwap,cpp_natgen_ForWhileTransformer,cpp_natgen_VarRenamerNaive,cpp_natgen_DeadCodeInserter,cpp_natgen_VarRenamerRN,cpp_natgen_VarRenamerCB,cpp_format_split_lines,cpp_format_new_line_afterdoc,cpp_format_new_line_aftercode,cpp_format_tab_indent,cpp_format_new_lines,cpp_func_name_FuncRenameSynonymSub,cpp_func_name_FuncRenameInflectionalVariation,cpp_func_name_FuncRenameChangeChar,cpp_func_name_FuncRenameButterFinger,cpp_func_name_FuncRenameSwapChar,cpp_func_name_FuncRenameSnakeCase
0,144,144,146,145,147,150,151,146,149,149,151,146,150,146,164.0,161,164.0,164.0,143,144,147,143,144,146,143,150,146,144,148
1,20,20,18,19,17,14,13,18,15,15,13,18,14,18,,3,,,21,20,17,21,20,18,21,14,18,20,16
