,java_nominal,java_partial,java_nlaugmenter_EnglishInflectionalVariation,java_nlaugmenter_TenseTransformationFuture,java_nlaugmenter_ButterFingersPerturbation,java_nlaugmenter_ChangeCharCase,java_nlaugmenter_BackTranslation,java_nlaugmenter_SwapCharactersPerturbation,java_nlaugmenter_TenseTransformationPast,java_nlaugmenter_SynonymSubstitution,java_nlaugmenter_WhitespacePerturbation,java_nlaugmenter_SynonymInsertion,java_natgen_OperandSwap,java_natgen_ForWhileTransformer,java_natgen_VarRenamerNaive,java_natgen_DeadCodeInserter,java_natgen_VarRenamerRN,java_natgen_VarRenamerCB,java_format_split_lines,java_format_new_line_afterdoc,java_format_new_line_aftercode,java_format_tab_indent,java_format_doc2comments,java_format_new_lines,java_func_name_FuncRenameSynonymSub,java_func_name_FuncRenameInflectionalVariation,java_func_name_FuncRenameChangeChar,java_func_name_FuncRenameButterFinger,java_func_name_FuncRenameSwapChar,java_func_name_FuncRenameSnakeCase
0,138,79,142,142,143,150,148,143,148,142,147,149,91,98,98,133,91,96,164.0,81,73,69,75,80,147,143,148,144,147,146
1,26,85,22,22,21,14,16,21,16,22,17,15,73,66,66,31,73,68,,83,91,95,89,84,17,21,16,20,17,18
