,java_nominal,java_partial,java_nlaugmenter_EnglishInflectionalVariation,java_nlaugmenter_TenseTransformationFuture,java_nlaugmenter_ButterFingersPerturbation,java_nlaugmenter_ChangeCharCase,java_nlaugmenter_BackTranslation,java_nlaugmenter_SwapCharactersPerturbation,java_nlaugmenter_TenseTransformationPast,java_nlaugmenter_SynonymSubstitution,java_nlaugmenter_WhitespacePerturbation,java_nlaugmenter_SynonymInsertion,java_natgen_OperandSwap,java_natgen_ForWhileTransformer,java_natgen_VarRenamerNaive,java_natgen_DeadCodeInserter,java_natgen_VarRenamerRN,java_natgen_VarRenamerCB,java_format_split_lines,java_format_new_line_afterdoc,java_format_new_line_aftercode,java_format_tab_indent,java_format_doc2comments,java_format_new_lines,java_func_name_FuncRenameSynonymSub,java_func_name_FuncRenameInflectionalVariation,java_func_name_FuncRenameChangeChar,java_func_name_FuncRenameButterFinger,java_func_name_FuncRenameSwapChar,java_func_name_FuncRenameSnakeCase
0,118,59,124,118,124,128,124,123,124,128,129,128,73,72,72,111,74,77,164.0,57,56,51,54,50,120,124,127,119,123,122
1,15,11,14,14,17,17,15,13,19,10,9,14,10,12,13,14,11,12,,13,14,13,14,19,19,17,11,20,11,14
2,12,8,6,12,8,7,10,9,6,8,9,12,13,10,12,11,11,13,,6,10,10,10,13,8,8,7,9,18,9
3,8,6,5,12,7,7,7,11,6,7,6,2,6,12,11,4,9,2,,6,14,14,13,7,11,8,11,7,6,9
4,6,11,11,4,7,1,2,5,7,9,8,6,10,21,15,4,14,11,,13,9,12,18,13,4,3,5,7,5,4
5,5,69,4,4,1,4,6,3,2,2,3,2,52,37,41,20,45,49,,69,61,64,55,62,2,4,3,2,1,6
