,js_nlaugmenter_EnglishInflectionalVariation,js_nlaugmenter_TenseTransformationFuture,js_nlaugmenter_ButterFingersPerturbation,js_nlaugmenter_ChangeCharCase,js_nlaugmenter_BackTranslation,js_nlaugmenter_SwapCharactersPerturbation,js_nlaugmenter_TenseTransformationPast,js_nlaugmenter_SynonymSubstitution,js_nlaugmenter_WhitespacePerturbation,js_nlaugmenter_SynonymInsertion,js_natgen_OperandSwap,js_natgen_ForWhileTransformer,js_natgen_VarRenamerNaive,js_natgen_DeadCodeInserter,js_natgen_VarRenamerRN,js_natgen_VarRenamerCB,js_format_split_lines,js_format_new_line_afterdoc,js_format_new_line_aftercode,js_format_tab_indent,js_format_doc2comments,js_format_new_lines,js_func_name_FuncRenameSynonymSub,js_func_name_FuncRenameInflectionalVariation,js_func_name_FuncRenameChangeChar,js_func_name_FuncRenameButterFinger,js_func_name_FuncRenameSwapChar,js_func_name_FuncRenameSnakeCase
0,105,99,110,109,95,99,97,98,104,102,94,104,102,123,96,93,164.0,74,71,99,163,81,91,101,100,98,104,104
1,59,65,54,55,69,65,67,66,60,62,70,60,62,41,68,71,,90,93,65,1,83,73,63,64,66,60,60
